period,cmdCode,country_product_value,world_product_value,total_country_value,total_world_value,RCA,has_CA,sector
1990,19,21141356,2668557291,26344665088,5506762919445,1.6559987544460215,TRUE,19
1990,1901,2939408,676258035,26344665088,5506762919445,0.9085548082081948,FALSE,19
1990,1902,3134437,219884395,26344665088,5506762919445,2.979674565063443,TRUE,19
1990,1904,2658790,298449487,26344665088,5506762919445,1.8621595877473378,TRUE,19
1990,1905,12408721,1468319016,26344665088,5506762919445,1.7664863832724385,TRUE,19
1991,19,40307716,3782926012,26956705792,7665683262709,3.0300123223844864,TRUE,19
1991,1901,4536600,975475257,26956705792,7665683262709,1.322507922892243,TRUE,19
1991,1902,4258664,316002578,26956705792,7665683262709,3.832364449190953,TRUE,19
1991,1903,149,8490534,26956705792,7665683262709,0.004990399512438646,FALSE,19
1991,1904,4548131,526992671,26956705792,7665683262709,2.4542140710468567,TRUE,19
1991,1905,26964172,1955964934,26956705792,7665683262709,3.9202167157141714,TRUE,19
1992,19,57054000,6052053243,184779539480,9822734094946,0.5011432267687648,FALSE,19
1992,1901,6025000,1779817160,184779539480,9822734094946,0.17995344654640522,FALSE,19
1992,1902,5396000,533968772,184779539480,9822734094946,0.5371982500852209,FALSE,19
1992,1904,7436000,650973176,184779539480,9822734094946,0.6072322027303766,FALSE,19
1992,1905,38197000,3070954398,184779539480,9822734094946,0.6612023592509007,FALSE,19
1993,19,69811000,7531814989,207545660288,11315396833376,0.5053361276468136,FALSE,19
1993,1901,9425000,2185955516,207545660288,11315396833376,0.2350694393600225,FALSE,19
1993,1902,6245000,655044280,207545660288,11315396833376,0.519778027374848,FALSE,19
1993,1904,7228000,829911002,207545660288,11315396833376,0.47483503407457095,FALSE,19
1993,1905,46913000,3845100207,207545660288,11315396833376,0.6651838190874776,FALSE,19
1994,19,94836216,11295381823,242474249720,15033279859979,0.5205487634682308,FALSE,19
1994,1901,11764923,2820323071,242474249720,15033279859979,0.25862967093799805,FALSE,19
1994,1902,8157522,1806699056,242474249720,15033279859979,0.2799371612572499,FALSE,19
1994,1903,2080,14746595,242474249720,15033279859979,0.008744997712103788,FALSE,19
1994,1904,10126433,1022250030,242474249720,15033279859979,0.6141684174433744,FALSE,19
1994,1905,64785256,5620351333,242474249720,15033279859979,0.7146622344426939,FALSE,19
1995,19,123817000,14125572236,318162623824,18689760662247,0.5149070132461423,FALSE,19
1995,1901,13876000,3332429603,318162623824,18689760662247,0.24460080824836428,FALSE,19
1995,1902,10985000,2268510428,318162623824,18689760662247,0.28445518973315415,FALSE,19
1995,1904,20722000,1211379755,318162623824,18689760662247,1.0048608783893485,TRUE,19
1995,1905,78234000,7275143685,318162623824,18689760662247,0.6316966023229907,FALSE,19
1996,19,159766880,15535218496,382644673469,19955898450558,0.5363459449330034,FALSE,19
1996,1901,15735736,3449510614,382644673469,19955898450558,0.23790588669583765,FALSE,19
1996,1902,19497702,2615127680,382644673469,19955898450558,0.38883571090224744,FALSE,19
1996,1904,25928560,1373368417,382644673469,19955898450558,0.9846161506069393,FALSE,19
1996,1905,98604880,8074069934,382644673469,19955898450558,0.6369150559450272,FALSE,19
1997,19,198287088,15314920387,440187616975,20833416309207,0.6127768680069531,FALSE,19
1997,1901,21252228,3540367562,440187616975,20833416309207,0.2841049396583188,FALSE,19
1997,1902,23052504,2611196772,440187616975,20833416309207,0.41783149908662637,FALSE,19
1997,1903,21898,23054446,440187616975,20833416309207,0.04495442344615644,FALSE,19
1997,1904,43639496,1424595062,440187616975,20833416309207,1.4498095720745718,TRUE,19
1997,1905,110320960,7713667607,440187616975,20833416309207,0.6768926260648944,FALSE,19
1998,19,202829120,16075400090,469301386869,21012298624726,0.5649242822646298,FALSE,19
1998,1901,34040140,3735132471,469301386869,21012298624726,0.4080440552683238,FALSE,19
1998,1902,19646572,2619527597,469301386869,21012298624726,0.33580374304709476,FALSE,19
1998,1903,500,29696347,469301386869,21012298624726,7.538565311438869e-4,FALSE,19
1998,1904,31095194,1619111441,469301386869,21012298624726,0.859880807763816,FALSE,19
1998,1905,118046720,8070137831,469301386869,21012298624726,0.6549297204377063,FALSE,19
1999,19,228704240,16287011982,545051238195,21788133129929,0.5613264281165721,FALSE,19
1999,1901,48437952,3890691594,545051238195,21788133129929,0.49767022189466525,FALSE,19
1999,1902,19566078,2523232873,545051238195,21788133129929,0.3099767611200385,FALSE,19
1999,1904,28384616,1689302173,545051238195,21788133129929,0.6716737445353325,FALSE,19
1999,1905,132315592,8154698782,545051238195,21788133129929,0.648613211029885,FALSE,19
2000,19,247325089,16172990322.512,665177358120,25175799852569.816,0.5787935286379475,FALSE,19
2000,1901,47035308,4004820290.361999,665177358120,25175799852569.816,0.44451536677142617,FALSE,19
2000,1902,26092926,2520754678.713,665177358120,25175799852569.816,0.3917761733981789,FALSE,19
2000,1904,41105351,1636322125.4339998,665177358120,25175799852569.816,0.9507697982696488,FALSE,19
